Epoch 1/50, Loss: 0.051098
Epoch 2/50, Loss: 0.029027
Epoch 3/50, Loss: 0.005783
Epoch 4/50, Loss: 0.001379
Epoch 5/50, Loss: 0.001027
Epoch 6/50, Loss: 0.000898
Epoch 7/50, Loss: 0.000807
Epoch 8/50, Loss: 0.000702
Epoch 9/50, Loss: 0.000719
Epoch 10/50, Loss: 0.000716
Epoch 11/50, Loss: 0.000651
Epoch 12/50, Loss: 0.000654
Epoch 13/50, Loss: 0.000644
Epoch 14/50, Loss: 0.000643
Epoch 15/50, Loss: 0.000644
Epoch 16/50, Loss: 0.000606
Epoch 17/50, Loss: 0.000627
Epoch 18/50, Loss: 0.000589
Epoch 19/50, Loss: 0.000611
Epoch 20/50, Loss: 0.000582
Epoch 21/50, Loss: 0.000564
Epoch 22/50, Loss: 0.000575
Epoch 23/50, Loss: 0.000572
Epoch 24/50, Loss: 0.000555
Epoch 25/50, Loss: 0.000524
Epoch 26/50, Loss: 0.000551
Epoch 27/50, Loss: 0.000525
Epoch 28/50, Loss: 0.000523
Epoch 29/50, Loss: 0.000536
Epoch 30/50, Loss: 0.000502
Epoch 31/50, Loss: 0.000492
Epoch 32/50, Loss: 0.000519
Epoch 33/50, Loss: 0.000467
Epoch 34/50, Loss: 0.000508
Epoch 35/50, Loss: 0.000496
Epoch 36/50, Loss: 0.000489
Epoch 37/50, Loss: 0.000492
Epoch 38/50, Loss: 0.000471
Epoch 39/50, Loss: 0.000450
Epoch 40/50, Loss: 0.000475
Epoch 41/50, Loss: 0.000441
Epoch 42/50, Loss: 0.000457
Epoch 43/50, Loss: 0.000456
Epoch 44/50, Loss: 0.000439
Epoch 45/50, Loss: 0.000424
Epoch 46/50, Loss: 0.000429
Epoch 47/50, Loss: 0.000431
Epoch 48/50, Loss: 0.000416
Epoch 49/50, Loss: 0.000432
Epoch 50/50, Loss: 0.000428
